COMID,totco2g_m2_day_fill
23102326,0.027998956
23102328,0.002493703
23102330,0.012831213
23102334,0.041899413
23102336,2.785667077
23102338,2.923997402
23102340,0.158179685
23102342,0.000402689
23102344,0.012593243
23102346,2.290323976
23102350,0.519115704
23102352,0.044370674
23102354,1.977176547
23102356,0.000625833
23102360,0.001433497
23102362,3.091569901
23102364,1.760744478
23102366,0.056648549
23102368,0.002466596
23102370,0.006052016
23102372,0.000371683
23102374,5.41903443
23102376,6.794146355
23102378,0.003433239
23102380,0
23102382,0.894717872
23102384,0.002271192
23102386,1.036673134
23102388,0
23102390,0
23102394,0.008810586
23102396,0.006177243
23102398,0.003209537
23102400,0.013983043
23102404,0.003847441
23102406,0.00269789
23102408,0.075289115
23102410,0.006055938
23102412,0.010595669
23102414,0.003025847
23102416,0.71981734
23102418,0.00189469
23102420,0.171198085
23102422,0.091713935
23102424,0.043059915
23102426,0.003187582
23102428,0.00395691
23102430,0.001408785
23102432,0.002745718
23102434,0.021043279
23102438,0.003488329
23102440,0.00024629
23102444,0.011936867
23102446,0.117416561
23102448,0.094449066
23102450,0.006341502
23102452,0.00197799
23102454,0.815838703
23102456,0.005011877
23102460,1.067176461
23102464,0.004708799
23102466,0
23102468,0
23102470,0.004729236
23102472,0.024495282
23102476,0.004854187
23102478,0.002041749
23102480,0.001589711
23102482,0.005214255
23102484,2.115658522
23102486,0.000953553
23102488,1.254277587
23102494,0.006850555
23102496,0.005151054
23102500,0.003782143
23102502,0.00550978
23102504,0.001603146
23102506,0.001406991
23102508,0
23102510,0.381408483
23102512,0.003063463
23102514,0.001374487
23102516,0.129131064
23102518,0.129131064
23102520,0.004416926
23102522,0.001299104
23102524,0.00475397
23102526,0.000781752
23102528,0.005708613
23102530,0.00717381
23102532,0.001462924
23102534,0.173647925
23102536,0.094909593
23102538,0.117292956
23102540,0.001614171
23102542,0.03064291
23102544,0.003037798
23102546,0.005677164
23102548,0.002271821
23102550,0.067860005
23102552,126.3981628
23102558,0
23102560,0.136316851
23102562,0.001274624
23102566,0.064106062
23102568,0
23102570,0.013098756
23102572,0.049049247
23102574,0.005310242
23102576,0.0012399
23102580,0.008440421
23102582,1.83730163
23102584,0.003503613
23102586,0.011027933
23102588,0.320028633
23102592,0.00290189
23102594,0.01117258
23102596,0.095004708
