"comid","tocomid","TOT_NLCD01_11","TOT_NLCD01_12","TOT_NLCD01_21","TOT_NLCD01_22","TOT_NLCD01_23","TOT_NLCD01_24","TOT_NLCD01_31","TOT_NLCD01_41","TOT_NLCD01_42","TOT_NLCD01_43","TOT_NLCD01_52","TOT_NLCD01_71","TOT_NLCD01_81","TOT_NLCD01_82","TOT_NLCD01_90","TOT_NLCD01_95","TOT_NODATA"
23099728,23099726,0.71,0.07,2.47,1.77,0.62,0.14,1.1,0.11,39.96,0.01,34.07,5.26,3.54,8.72,1.09,0.37,NA
23099730,23099728,0.72,0.07,2.36,1.71,0.61,0.14,1.12,0.11,40.92,0.01,34.69,5.38,3.55,7.14,1.1,0.36,NA
23099732,23099730,0.73,0.07,2.32,1.68,0.61,0.14,1.14,0.11,41.56,0.02,34.86,5.37,3.45,6.47,1.11,0.36,NA
23099734,23099732,0.73,0.07,2.31,1.68,0.61,0.14,1.14,0.11,41.58,0.02,34.88,5.38,3.45,6.44,1.11,0.35,NA
23099736,23099734,0.73,0.07,2.31,1.67,0.61,0.14,1.14,0.11,41.61,0.02,34.91,5.38,3.46,6.39,1.1,0.34,NA
23099738,23099736,0.73,0.07,2.31,1.67,0.61,0.14,1.14,0.11,41.65,0.02,34.94,5.39,3.46,6.33,1.09,0.34,NA
23099742,947030112,0.73,0.07,2.3,1.67,0.61,0.14,1.15,0.11,41.86,0.02,34.91,5.31,3.45,6.24,1.09,0.33,NA
23099744,23099742,0.73,0.07,2.29,1.67,0.61,0.14,1.15,0.11,41.92,0.02,34.94,5.31,3.42,6.19,1.08,0.32,NA
23099746,23099744,0.73,0.07,2.29,1.67,0.61,0.14,1.15,0.11,41.92,0.02,34.94,5.31,3.42,6.19,1.08,0.32,NA
23099748,23099746,0.73,0.07,2.29,1.67,0.61,0.14,1.15,0.11,41.92,0.02,34.94,5.31,3.42,6.19,1.08,0.32,NA
23099750,23099748,0.73,0.07,2.28,1.67,0.62,0.14,1.15,0.11,41.98,0.02,34.99,5.32,3.41,6.14,1.06,0.31,NA
23099752,23099750,0.73,0.07,2.28,1.67,0.61,0.14,1.15,0.11,41.99,0.02,34.99,5.32,3.41,6.13,1.06,0.31,NA
23099754,23099752,0.73,0.08,2.24,1.65,0.61,0.14,1.16,0.11,42.2,0.02,35.06,5.24,3.34,6.05,1.06,0.3,NA
23099756,23099754,0.73,0.08,2.24,1.65,0.61,0.14,1.16,0.11,42.2,0.02,35.06,5.24,3.34,6.05,1.06,0.3,NA
23099758,23099756,0.73,0.08,2.24,1.65,0.61,0.14,1.16,0.11,42.2,0.02,35.06,5.24,3.34,6.05,1.05,0.3,NA
23099760,23099758,0.73,0.08,2.24,1.65,0.61,0.14,1.16,0.11,42.2,0.02,35.06,5.24,3.34,6.05,1.05,0.3,NA
23099762,23099760,0.73,0.08,2.24,1.65,0.61,0.14,1.16,0.11,42.21,0.02,35.07,5.24,3.34,6.05,1.05,0.3,NA
23099764,23099762,0.73,0.08,2.24,1.65,0.61,0.14,1.16,0.11,42.21,0.02,35.07,5.24,3.34,6.05,1.05,0.3,NA
23099766,23099764,0.73,0.08,2.24,1.65,0.61,0.14,1.16,0.11,42.21,0.02,35.07,5.24,3.34,6.05,1.05,0.3,NA
23099768,23099766,0.73,0.08,2.24,1.65,0.61,0.14,1.16,0.11,42.21,0.02,35.07,5.24,3.34,6.05,1.05,0.3,NA
23099770,23099768,0.73,0.08,2.18,1.64,0.61,0.14,1.16,0.11,42.45,0.02,35.14,5.23,3.26,5.92,1.04,0.29,NA
23099772,23099770,0.73,0.08,2.18,1.64,0.61,0.14,1.16,0.11,42.46,0.02,35.15,5.23,3.26,5.92,1.03,0.28,NA
23099774,23099772,0.73,0.08,2.18,1.64,0.61,0.14,1.16,0.11,42.46,0.02,35.15,5.23,3.26,5.92,1.03,0.28,NA
23099776,23099774,0.73,0.08,2.18,1.64,0.61,0.14,1.16,0.11,42.46,0.02,35.15,5.23,3.26,5.91,1.03,0.28,NA
23099778,23099776,0.73,0.08,2.18,1.64,0.61,0.14,1.16,0.11,42.46,0.02,35.15,5.23,3.26,5.91,1.03,0.28,NA
23099780,23099778,0.73,0.08,2.17,1.64,0.61,0.14,1.17,0.11,42.48,0.02,35.16,5.23,3.26,5.9,1.02,0.28,NA
23099782,23099780,0.73,0.08,2.17,1.64,0.61,0.14,1.17,0.11,42.48,0.02,35.16,5.23,3.26,5.9,1.02,0.28,NA
23099784,23099782,0.73,0.08,2.17,1.64,0.61,0.14,1.17,0.11,42.48,0.02,35.16,5.23,3.26,5.9,1.02,0.28,NA
23099786,23099784,0.73,0.08,2.17,1.64,0.61,0.14,1.17,0.11,42.48,0.02,35.16,5.23,3.26,5.9,1.02,0.28,NA
23099788,23099786,0.73,0.08,2.17,1.64,0.61,0.14,1.17,0.11,42.48,0.02,35.16,5.23,3.26,5.9,1.02,0.28,NA
23099790,23099788,0.73,0.08,2.17,1.64,0.61,0.14,1.17,0.11,42.48,0.02,35.16,5.23,3.26,5.9,1.02,0.28,NA
23099792,23099790,0.73,0.08,2.17,1.64,0.61,0.14,1.17,0.11,42.49,0.02,35.16,5.23,3.26,5.89,1.01,0.28,NA
23099794,23099792,0.73,0.08,2.17,1.64,0.61,0.14,1.17,0.11,42.49,0.02,35.16,5.23,3.26,5.89,1.01,0.28,NA
23099796,23099794,0.73,0.08,2.17,1.64,0.61,0.14,1.17,0.11,42.49,0.02,35.16,5.23,3.26,5.89,1.01,0.28,NA
23099798,23099796,0.73,0.08,2.17,1.64,0.61,0.14,1.17,0.11,42.49,0.02,35.17,5.23,3.26,5.89,1.01,0.28,NA
23099800,23099798,0.73,0.08,2.17,1.64,0.61,0.14,1.17,0.11,42.51,0.02,35.18,5.23,3.27,5.89,1,0.27,NA
23099802,23099800,0.73,0.08,2.17,1.64,0.61,0.14,1.17,0.11,42.51,0.02,35.18,5.23,3.27,5.89,0.99,0.27,NA
